"valueCounter",maxValue,valueCounter <= maxValue,valueCounter % 2 != 0 && valueCounter % 5 == 0,valueCounter % 5 == 0,(valueCounter % 2 != 0),(valueCounter % valueCounter == 0 && valueCounter % 1 == 0),myString +=,return
"1",10,true,false,false,true,false,"Snap ",---
"2",---,true,false,false,false,true,"2 ",---
"3",---,true,false,false,true,false,"Snap ",---
"4",---,true,false,false,false,true,"4 ",---
"5",---,true,true,true,true,false,"SnapCrackle ",---
"6",---,true,false,false,false,true,"6 ",---
"7",---,true,false,false,true,false,"Snap ",---
"8",---,true,false,false,false,true,8,---
"9",---,true,false,false,true,false,"Snap ",---
"10",---,false,false,true,false,false,"Crackle ",---
"10",10,---,---,---,---,---,---,myString